figure_id,country,title,caption,source,notes
chl_05,Chile,Outstanding Letters of Credit (Monthly Evolution),"Monthly time series of total outstanding letters of credit in Chilean banking system in USD millions. Shows volume trends 2022-2024 (CMF period).",CMF Balance Sheets,"Range: USD 1,873-2,986 millions. Equivalent to MEX-1. Chile has ~4x higher L/C volume than Mexico. CMF/IFRS 9 data only (reliable period)."
chl_06,Chile,Letters of Credit as % of Total Liabilities,"Outstanding L/C as percentage of total bank liabilities. Shows relative importance of L/C in bank balance sheets. Monthly 2022-2024.",CMF Balance Sheets,"Range: 0.081%-0.116%. Comparable with MEX-2 (0.055%-0.123%). Similar relative size despite higher absolute volume. Uses account 200000000 (TOTAL PASIVOS)."
chl_07,Chile,L/C by Top 5 Banks (Monthly),"Monthly stacked area showing L/C concentration among top 5 issuing banks. Identifies market leaders and specialization patterns 2022-2024.",CMF Balance Sheets,"Top 5 L/C banks: Itaú CorpBanca (leader with USD 23.2B cumulative), Santander, BICE, BCI, Banco del Estado. High specialization evident. Comparable to MEX-6."
chl_08,Chile,TF as % of Annual Exports,"Monthly TF stock as percentage of annual exports. PRIMARY trade finance intensity metric. Methodology: monthly stock / annual exports × 100.",CMF Balance Sheets + GMD,"Range: 22.0%-35.7%. HIGHEST among all 4 countries. Chile banks heavily finance export operations (copper, mining, agriculture, wine). Structural feature."
chl_09,Chile,TF as % of Annual Total Trade,"Monthly TF stock as percentage of annual total trade. Broader penetration metric including imports. Methodology: monthly stock / annual (X+M) × 100.",CMF Balance Sheets + GMD,"Range: 10.4%-18.2%. Still very high internationally. Chilean banks finance BOTH sides of trade flows actively (exports AND imports)."
chl_10,Chile,Trade Finance Composition by Category,"Monthly stacked area showing TF breakdown by category: Exports, Imports, Guarantees, L/C, Third Countries, Interbank Foreign. 2022-2024.",CMF Balance Sheets,"Excludes 'otros' category. L/C appears small (0.03%) because it only includes standalone documentary credits (USD 371M). Most L/C are embedded within Imports (USD 80B) and Exports (USD 3B), captured separately in CHL-7. Top 3: Exports (46%), Guarantees (26%), Imports (24%)."
bra_01,Brazil,Foreign-Trade Credit as % of Total Credit,"TF credit (comércio exterior) as share of total credit. National aggregate - no individual bank data available publicly. Monthly 2012-2024.",BCB (Banco Central do Brasil) SCR (Sistema de Crédito),"Range: 3-8% of total credit. Includes ACC, ACE, FINIMP, NCE modalities. Aggregated by state/sector/size only (no bank-level breakdown in public SCR)."
bra_02,Brazil,Foreign-Trade Credit by Borrower Size,"Annual grouped bars showing TF distribution across Micro/Pequeno/Médio/Grande enterprise size categories. 2012-2024.",BCB SCR,"Size per BCB/BNDES/SEBRAE standards. Médio: 54% by operation count. Grande: 80% by volume. Concentrated lending. Data quality: 99.5% coverage (834K of 838K valid)."
bra_03,Brazil,Foreign-Trade Credit by Region,"Annual grouped bars showing TF geographic distribution across Brazilian regions or top states. Alternative to bank-level analysis (unavailable). 2012-2024.",BCB SCR,"Southeast + South: 81% of TF. São Paulo alone: ~40%. North: 2.2%. Stark regional inequality in trade finance access despite Amazon potential."
bra_04,Brazil,Regional Concentration,"Line chart showing regional concentration metrics (Gini coefficient or CR5) evolution 2012-2024. Alternative to bank-level concentration (unavailable).",BCB SCR,"Gini ~0.58 = high geographic inequality. Top 5 states (SP, RJ, MG, PR, SC): 72% of national volume. Persistent concentration over time."
bra_05,Brazil,Size Distribution Comparison: Brazil vs Peru,"Side-by-side grouped bars comparing TF borrower size distribution between Brazil and Peru. Structural differences in SME access. 2012-2024.",BCB SCR + SBS Credit Registry,"Brazil: More democratized (Médio 54%). Peru: More concentrated (Corporate 45%). Reflects different economic structures and SME financing ecosystems."
bra_06,Brazil,TF as % of Annual Exports,"Monthly TF stock as percentage of annual exports. Primary trade finance intensity metric for Brazil. Methodology: monthly stock / annual exports × 100.",BCB SCR + GMD,"Range: 10.3%-23.7%. CORRECTED from 10,000%+ error (unit bug: /1e6→/1e9 fix). High intensity reflects Brazil's export-intensive economy (soybeans, iron ore, aircraft)."
bra_07,Brazil,TF as % of Annual Total Trade,"Monthly TF stock as percentage of annual total trade (exports + imports). Broader penetration metric. Methodology: monthly stock / annual (X+M) × 100.",BCB SCR + GMD,"Range: 5.2%-12.0%. Lower than exports-only but still substantial (2nd highest after Chile). Brazil banks finance both import AND export operations actively."
bra_08,Brazil,Trade Finance by Economic Sector,"Annual stacked bar showing TF distribution across top 10 economic sectors. Identifies sectoral concentration 2012-2024.",BCB SCR,"Top 3: Manufacturing (62.9%), Wholesale/Retail (17.0%), Other (5.3%). Manufacturing dominance = Brazil's industrial export base (aircraft, autos, machinery, chemicals). Graph typo fixed: brasil→brazil."
